DRAFT YEAR,PLAYER,TEAM DRAFTED BY,PRE-DRAFT AFFILIATION,TEAMS FOR 21-22 SEASON,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK",Rk,Pos,Age,G,GS,MP,FG,FGA,FGPER,3P,3PA,3PPER,2P,2PA,2PPER,eFGPER,FT,FTA,FTPER,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021,Kessler Edwards,Brooklyn Nets,Pepperdine,BRK,2,14,44,158,SF,21,48,23,20.6,2.3,5.6,0.412,1,2.8,0.353,1.3,2.7,0.473,0.502,0.3,0.4,0.842,0.9,2.7,3.6,0.6,0.6,0.5,0.9,1.8,5.9
2021,Luka Garza,Detroit Pistons,Iowa,DET,2,22,52,187,C,23,32,5,12.2,2.1,4.6,0.449,0.5,1.5,0.327,1.6,3.1,0.51,0.503,1.2,1.9,0.623,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.8
2021,Miles McBride,Oklahoma City Thunder,West Virginia,NYK,2,6,36,360,PG,21,40,2,9.3,0.8,2.7,0.296,0.4,1.7,0.25,0.4,1,0.375,0.375,0.2,0.3,0.667,0.1,1,1.1,1,0.4,0,0.1,1.1,2.2
2021,Moses Moody,Golden State Warriors,Arkansas,GSW,1,14,14,387,SG,19,52,11,11.7,1.5,3.5,0.437,0.8,2.1,0.364,0.8,1.4,0.548,0.546,0.5,0.7,0.778,0.3,1.2,1.5,0.4,0.1,0.2,0.3,0.8,4.4
2021,Neemias Queta,Sacramento Kings,Utah State,SAC,2,9,39,464,C,22,15,0,8,1.1,2.5,0.447,0,0,,1.1,2.5,0.447,0.447,0.7,1.1,0.647,0.9,1.1,2.1,0.4,0.1,0.5,0.4,1.2,3
2021,Quentin Grimes,LA Clippers,Houston,NYK,1,25,25,211,SG,21,46,6,17.1,2.1,5.1,0.404,1.6,4.1,0.381,0.5,1,0.5,0.557,0.3,0.4,0.684,0.5,1.5,2,1,0.7,0.2,0.6,1.6,6
2021,Sandro Mamukelashvili,Indiana Pacers,Seton Hall,MIL,2,24,54,345,PF,22,41,3,9.9,1.4,2.8,0.496,0.5,1.3,0.423,0.9,1.5,0.556,0.591,0.4,0.5,0.818,0.9,1.1,2,0.5,0.2,0.2,0.4,0.7,3.8
2021,Santi Aldama,Utah Jazz,Loyola-Maryland,MEM,1,30,30,4,PF,21,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1,0.625,1,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1
2021,Scottie Barnes,Toronto Raptors,Florida State,TOR,1,4,4,32,PF,20,74,74,35.4,6.2,12.6,0.492,0.8,2.6,0.301,5.4,10,0.543,0.524,2.1,2.9,0.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,2.6,15.3
2021,Scottie Lewis,Charlotte Hornets,Florida,CHO,2,26,56,331,SG,21,2,0,3.5,0,0,,0,0,,0,0,,,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,0.5
2021,Sharife Cooper,Atlanta Hawks,Auburn,ATL,2,18,48,116,PG,20,13,0,3,0.2,1.1,0.214,0.1,0.5,0.167,0.2,0.6,0.25,0.25,0,0,,0,0.4,0.4,0.4,0,0,0.4,0.1,0.5
2021,Tre Mann,Oklahoma City Thunder,Florida,OKC,1,18,18,347,PG,20,60,26,22.8,3.9,9.8,0.393,1.6,4.5,0.36,2.2,5.3,0.421,0.476,1.1,1.4,0.793,0.4,2.4,2.9,1.5,0.8,0.2,1.2,1.7,10.4
2021,Trey Murphy III,Memphis Grizzlies,Virginia,NOP,1,17,17,399,SF,21,62,1,13.9,1.8,4.5,0.394,1.1,3,0.382,0.6,1.5,0.418,0.522,0.7,0.8,0.882,0.8,1.6,2.4,0.6,0.4,0.1,0.3,1,5.4
2021,Usman Garuba,Houston Rockets,Madrid (ESP),HOU,1,23,23,186,PF,19,24,2,10,0.8,1.8,0.432,0.2,0.8,0.25,0.6,1,0.583,0.489,0.2,0.3,0.714,0.9,2.6,3.5,0.7,0.4,0.5,0.3,1.2,2
2021,Ziaire Williams,New Orleans Pelicans,Stanford,MEM,1,10,10,590,SF,20,62,31,21.7,3.1,6.8,0.45,1.2,3.9,0.314,1.9,2.9,0.632,0.54,0.7,0.9,0.782,0.4,1.7,2.1,1,0.6,0.2,0.7,1.8,8.1
