DRAFT YEAR,PLAYER,DRAFTEDBY,PREDRAFT,2122TEAM,ROUNDNUMBER,ROUNDPICK,OVERALLPICK,Rank,Position,Age,Games,GamesStarted,MPERG,FGPER,3PPER,2PPER,eFGPER,FTPER,TRB,AST,STL,BLK,TOV,PF,PTS
2021,Jalen Suggs,Orlando Magic,Gonzaga,ORL,1,5,5,522,PG,20,48,45,27.2,0.361,0.214,0.443,0.4,0.773,3.6,4.4,1.2,0.4,3,3,11.8
2021,James Bouknight,Charlotte Hornets,Connecticut,CHO,1,11,11,62,SG,21,31,0,9.8,0.348,0.347,0.348,0.408,0.871,1.7,0.8,0.2,0,0.5,0.9,4.6
2021,Jared Butler,Sacramento Kings,Baylor,UTA,2,10,40,86,SG,21,42,1,8.6,0.404,0.318,0.524,0.497,0.688,1.1,1.5,0.4,0.2,0.8,1.1,3.8
2021,Jeremiah Robinson-Earl,New York Knicks,Villanova,OKC,2,2,32,479,C,21,49,36,22.2,0.414,0.352,0.478,0.503,0.741,5.6,1,0.6,0.3,0.8,1.5,7.5
2021,Jericho Sims,New York Knicks,Texas,NYK,2,28,58,506,PF,23,41,5,13.5,0.722,,0.722,0.722,0.414,4.1,0.5,0.3,0.5,0.5,1.6,2.2
2021,Joe Wieskamp,San Antonio Spurs,Iowa,SAS,2,11,41,580,SG,22,29,0,7.1,0.357,0.326,0.462,0.482,0.538,0.5,0.3,0.1,0.1,0.1,0.5,2.1
2021,Jonathan Kuminga,Golden State Warriors,Ignite (G League),GSW,1,7,7,318,SF,19,70,12,16.9,0.513,0.336,0.598,0.567,0.684,3.3,0.9,0.4,0.3,1.1,2.1,9.3
2021,Josh Christopher,Houston Rockets,Arizona State,HOU,1,24,24,104,SG,20,74,2,18,0.448,0.296,0.54,0.504,0.735,2.5,2,0.9,0.2,1.5,1.3,7.9
2021,Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),OKC,1,6,6,191,SF,19,54,54,31.5,0.419,0.263,0.492,0.461,0.709,7.8,6.4,0.9,0.4,3.2,1.6,12.5
2021,Joshua Primo,San Antonio Spurs,Alabama,SAS,1,12,12,460,SF,19,50,16,19.3,0.374,0.307,0.444,0.452,0.746,2.3,1.6,0.4,0.5,1.1,1.6,5.8
2021,JT Thor,Detroit Pistons,Auburn,CHO,2,7,37,539,PF,19,33,0,7.9,0.436,0.259,0.607,0.5,0.6,1.3,0.6,0.2,0.3,0.3,0.8,2
2021,Kai Jones,New York Knicks,Texas,CHO,1,19,19,296,C,21,21,0,3,0.643,0.5,0.667,0.679,0.375,0.5,0.2,0,0.1,0.3,0.4,1
2021,Keon Johnson,New York Knicks,Tennessee,"TOT, LAC, POR",1,21,21,287,SG,19,24.66666667,8,17.76666667,0.347666667,0.320333333,0.358,0.402,0.799666667,2.1,1.966666667,0.766666667,0.3,1.166666667,1.833333333,6.8
2021,Kessler Edwards,Brooklyn Nets,Pepperdine,BRK,2,14,44,158,SF,21,48,23,20.6,0.412,0.353,0.473,0.502,0.842,3.6,0.6,0.6,0.5,0.9,1.8,5.9
2021,Luka Garza,Detroit Pistons,Iowa,DET,2,22,52,187,C,23,32,5,12.2,0.449,0.327,0.51,0.503,0.623,3.1,0.6,0.3,0.2,0.6,1.7,5.8
2021,Miles McBride,Oklahoma City Thunder,West Virginia,NYK,2,6,36,360,PG,21,40,2,9.3,0.296,0.25,0.375,0.375,0.667,1.1,1,0.4,0,0.1,1.1,2.2
2021,Moses Moody,Golden State Warriors,Arkansas,GSW,1,14,14,387,SG,19,52,11,11.7,0.437,0.364,0.548,0.546,0.778,1.5,0.4,0.1,0.2,0.3,0.8,4.4
2021,Neemias Queta,Sacramento Kings,Utah State,SAC,2,9,39,464,C,22,15,0,8,0.447,,0.447,0.447,0.647,2.1,0.4,0.1,0.5,0.4,1.2,3
